영화제목,에그지수,성별,연령별,감독/등장인물,관람포인트,실관람평개수
매트릭스3 레볼루션,0.0,,,"감독 앤디 워쇼스키, 감독 라나 워쇼스키, 키아누 리브스, 모니카 벨루치, 로렌스 피쉬번",영상미가 뛰어나고 몰입하여 보게 되는 영화,0
써클,,,,"감독 박기형, 김혜성, 이행석, 이태성, 장희진",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
폴리와 함께,0.0,,,"감독 존 햄버거, 필립 세이무어 호프만, 데브라 메싱, 제니퍼 애니스톤, 알렉 볼드윈",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
온화한 일상,,,,,스토리가 탄탄하고 공감되는 영화,5
시월애,95.0,"성별예매 분포: 남 45%, 여 55%","연령별예매 분포: 10대 2%, 20대 31%, 30대 40%, 40대 14%, 50대 13%","감독 이현승, 이인철, 전지현, 이정재, 김무생",영상미가 뛰어나고 감동적인 영화,238
보리밭을 흔드는 바람,99.0,"성별예매 분포: 남 39%, 여 61%","연령별예매 분포: 10대 2%, 20대 28%, 30대 33%, 40대 18%, 50대 19%","킬리언 머피, 감독 켄 로치",배우연기가 메소드급인 몰입하여 보게 되는 영화,862
파이란,95.0,"성별예매 분포: 남 63%, 여 37%","연령별예매 분포: 10대 2%, 20대 24%, 30대 38%, 40대 21%, 50대 16%","감독 송해성, 최민식, 김지영, 손병호, 공형진",배우연기가 메소드급인 감동적인 영화,264
번지점프를 하다,94.0,"성별예매 분포: 남 32%, 여 68%","연령별예매 분포: 10대 1%, 20대 31%, 30대 39%, 40대 18%, 50대 11%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,356
쓰레기,,,,"감독 모함마드 아흐마디, 모하마드 에스칸다리, 파르진 모하데스",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
위대한 개츠비,,,,,,0
동감,,,,,스토리가 탄탄하고 몰입하여 보게 되는 영화,1
비포 미드나잇,92.0,"성별예매 분포: 남 35%, 여 65%","연령별예매 분포: 10대 0%, 20대 40%, 30대 40%, 40대 13%, 50대 7%","감독 리처드 링클레이터, 줄리 델피, 에단 호크",배우연기가 메소드급인 몰입하여 보게 되는 영화,3720
봄날은 간다,97.0,"성별예매 분포: 남 45%, 여 55%","연령별예매 분포: 10대 1%, 20대 37%, 30대 38%, 40대 14%, 50대 10%","감독 허진호, 유지태, 이문식, 이영애, 박인환",배우연기가 메소드급인 공감되는 영화,1220
디셈버,88.0,"성별예매 분포: 남 45%, 여 55%","연령별예매 분포: 10대 0%, 20대 22%, 30대 33%, 40대 23%, 50대 22%","감독 토드 헤인즈, 찰스 멜튼, 나탈리 포트만, 줄리안 무어",배우연기가 메소드급인 몰입하여 보게 되는 영화,2736
후회하지 않아,0.0,"성별예매 분포: 남 23%, 여 77%","연령별예매 분포: 10대 1%, 20대 34%, 30대 46%, 40대 16%, 50대 3%","감독 이송희일, 이한(1), 김정화, 이영훈",감독연출가 훌륭하고 몰입하여 보게 되는 영화,161
지랄,95.0,,"연령별예매 분포: 10대 3%, 20대 45%, 30대 26%, 40대 17%, 50대 8%","케이티 스튜어트, 블레이크 제너, 카이라 세드윅, 우디 해럴슨, 헤일리 스타인펠드",배우연기가 메소드급인 공감되는 영화,0
고티카,0.0,,,"감독 마티유 카소비츠, 페넬로페 크루즈, 할리 베리, 버나드 힐, 찰스 더튼, 로버트 다우니 주니어",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
프레스티지,0.0,,,"감독 크리스토퍼 놀란, 휴 잭맨, 크리스찬 베일, 스칼렛 요한슨, 마이클 케인",감독연출가 훌륭하고 몰입하여 보게 되는 영화,0
아수라,64.0,,,"감독 김성수, 정우성, 황정민, 차래형, 주지훈",,0
동사서독 리덕스,93.0,"성별예매 분포: 남 37%, 여 63%","연령별예매 분포: 10대 2%, 20대 31%, 30대 32%, 40대 20%, 50대 14%","감독 왕가위, 양조위, 장국영, 장만옥, 양가휘",영상미가 뛰어나고 몰입하여 보게 되는 영화,1317
천녀유혼 2-인간도,90.0,"성별예매 분포: 남 50%, 여 50%","연령별예매 분포: 10대 1%, 20대 22%, 30대 41%, 40대 27%, 50대 9%","감독 정소동, 이가흔, 이자웅, 우마, 장국영",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
기념일,84.0,"성별예매 분포: 남 46%, 여 54%","연령별예매 분포: 10대 6%, 20대 18%, 30대 25%, 40대 24%, 50대 27%","감독 김민하, 강신희, 손주연, 정하담",배우연기가 메소드급인 유쾌한 영화,3442
껍데기,0.0,"성별예매 분포: 남 62%, 여 38%","연령별예매 분포: 10대 3%, 20대 52%, 30대 33%, 40대 8%, 50대 5%",감독 팜 디엔 안,영상미가 뛰어나고 몰입하여 보게 되는 영화,13
데스노트,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 카네코 슈스케, 마츠야마 켄이치, 후지와라 타츠야",스토리가 탄탄하고 몰입하여 보게 되는 영화,0
멤피스,,"성별예매 분포: 남 38%, 여 62%","연령별예매 분포: 10대 4%, 20대 35%, 30대 31%, 40대 21%, 50대 10%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,22
자유부인,,"성별예매 분포: 남 63%, 여 38%","연령별예매 분포: 10대 0%, 20대 50%, 30대 25%, 40대 25%, 50대 0%","감독 한형모, 김정림, 박암",,0
그녀는 날 싫어해,,,,"감독 스파이크 리, 안소니 마키, 케리 워싱턴, 모니카 벨루치",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
한 번 뿐인 내 인생,,"성별예매 분포: 남 65%, 여 35%","연령별예매 분포: 10대 12%, 20대 24%, 30대 24%, 40대 18%, 50대 24%","감독 조야 악타르, 파르한 악타르, 리틱 로샨",배우연기가 메소드급인 몰입하여 보게 되는 영화,4
종횡사해,98.0,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 1%, 20대 28%, 30대 37%, 40대 25%, 50대 10%","감독 오우삼, 주윤발, 장국영",배우연기가 메소드급인 기분이 좋아지는 영화,197
패밀리,0.0,,,"감독 나초 G. 베일라, 롤라 듀에나스, 하르비에 카마라, 페르난도 테헤, 벤자민 비쿠나",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
호두,0.0,"성별예매 분포: 남 31%, 여 69%","연령별예매 분포: 10대 1%, 20대 4%, 30대 42%, 40대 51%, 50대 2%","감독 안드레이 콘잘로프스키, 찰리 로우, 엘르 패닝, 존 터투로",OST가 명곡인 몰입하여 보게 되는 영화,102
비르와 자라,,,,"감독 야쉬 초프라, 쁘리티 진따, 샤룩 칸",배우연기가 메소드급인 몰입하여 보게 되는 영화,13
우리가 만났을 때,,,,"감독 임티아즈 알리, 샤히드 카푸르, 카리나 카푸르",배우연기가 메소드급인 몰입하여 보게 되는 영화,11
락스타,,,,"감독 임티아즈 알리, 샴미 카푸르, 란비르 카푸르",배우연기가 메소드급인 몰입하여 보게 되는 영화,5
패션,,,,"감독 마두르 반다카르, 칸가나 라놀트, 프리앙카 초프라",배우연기가 메소드급인 몰입하여 보게 되는 영화,14
버니,0.0,"성별예매 분포: 남 32%, 여 68%","연령별예매 분포: 10대 1%, 20대 37%, 30대 45%, 40대 17%, 50대 0%","감독 사부, 아시다 마나, 마츠야마 켄이치",배우연기가 메소드급인 몰입하여 보게 되는 영화,57
길,,,,"감독 이인수, 안재모, 서미영, 이상민(여), 임유진",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
디아틀로프,0.0,"성별예매 분포: 남 62%, 여 38%","연령별예매 분포: 10대 1%, 20대 35%, 30대 38%, 40대 20%, 50대 7%","감독 레니 할린, 젬마 아킨슨, 루크 앨브라이트, 맷 스토키, 홀릭 고스",스토리가 탄탄하고 몰입하여 보게 되는 영화,76
흑역사,88.0,"성별예매 분포: 남 41%, 여 59%","연령별예매 분포: 10대 0%, 20대 16%, 30대 38%, 40대 21%, 50대 25%","감독 알리체 필리피, 주세페 마조, 루도비카 프란체스코니",배우연기가 메소드급인 유쾌한 영화,298
플러쉬,0.0,,,"감독 샘 펠, 프랭크 패싱햄, 휴 잭맨, 빌 나이, 케이트 윈슬렛",스토리가 탄탄하고 몰입하여 보게 되는 영화,78
자기만의 방,0.0,"성별예매 분포: 남 57%, 여 43%","연령별예매 분포: 10대 1%, 20대 12%, 30대 37%, 40대 26%, 50대 24%","감독 오세호, 백현진, 김민규, 김리예, 김환희",배우연기가 메소드급인 몰입하여 보게 되는 영화,47
콘크리트,89.0,,,"감독 엄태화, 이병헌, 박보영, 박지후, 박서준",,0
아주 특별한 손님,,,,"감독 이윤기, 한효주, 김영민",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
방학숙제,0.0,"성별예매 분포: 남 31%, 여 69%","연령별예매 분포: 10대 3%, 20대 12%, 30대 54%, 40대 31%, 50대 0%",감독 후지모리 마사야,스토리가 탄탄하고 몰입하여 보게 되는 영화,15
소년,0.0,,,"감독 윤태용, 염정아, 오광록, 박은수, 조민수",배우연기가 메소드급인 몰입하여 보게 되는 영화,147
Family,0.0,,,"감독 이정철, 이성재, 전찬호, 주 현, 수애",배우연기가 메소드급인 감동적인 영화,400
거짓말,,,,"감독 오타니 켄타로, 나카타니 미키, 시이나 깃페이, 츠마부키 사토시, 반 안리, 다나베 세이치",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
애정결핍이 두 남자에게 미치는 영향,0.0,,,"감독 김성훈, 백윤식, 이혜영(2), 봉태규",배우연기가 메소드급인 몰입하여 보게 되는 영화,142
MJ,0.0,,,감독 N.C. 하이킨,스토리가 탄탄하고 몰입하여 보게 되는 영화,6
지퍼,0.0,,,"감독 빅터 살바, 레이 와이즈, 니키 린 에이콕스, 조나단 브렉, 루크 에드워즈",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
사일런트 힐,0.0,,,"감독 크리스토프 갱스, 숀 빈, 로리 홀든, 데보라 웅거, 타냐 앨런",감독연출가 훌륭하고 몰입하여 보게 되는 영화,0
호구,,"성별예매 분포: 남 55%, 여 45%","연령별예매 분포: 10대 0%, 20대 39%, 30대 41%, 40대 14%, 50대 6%","감독 백승기, 조한철, 박지나, 손이용, 백승기",배우연기가 메소드급인 몰입하여 보게 되는 영화,57
가장자리,,,,"누르글 예실케이, 턴셀 커티스, 바키 다브렉",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
마스터,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 롭 민코프, 성룡, 이연걸",영상미가 뛰어나고 스트레스가 해소되는 영화,584
박사가 사랑한 수식,,,,"감독 고이즈미 타카시, 후카츠 에리, 아사오카 루리코, 사이토 류세, 요시오카 히데타카, 테라오 아키라",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
답,,,,,,0
당신,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 폴 맥기건, 매튜 릴라드, 크리스토퍼 커즌즈, 로즈 번, 다이앤 크루거",배우연기가 메소드급인 몰입하여 보게 되는 영화,154
에브리데이,,"성별예매 분포: 남 30%, 여 70%","연령별예매 분포: 10대 0%, 20대 35%, 30대 34%, 40대 19%, 50대 12%","셜리 헨더슨, 감독 마이클 윈터바텀",스토리가 탄탄하고 몰입하여 보게 되는 영화,146
파라다이스,,,,"감독 이장수, 지진희, 김하늘",영상미가 뛰어나고 몰입하여 보게 되는 영화,0
매그놀리아,94.0,"성별예매 분포: 남 47%, 여 53%","연령별예매 분포: 10대 0%, 20대 40%, 30대 32%, 40대 16%, 50대 12%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,833
파 프롬 헤븐,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 토드 헤인즈, 줄리안 무어, 패트리시아 클락슨, 제임스 렙혼, 데니스 헤이스버트, 데니스 퀘이드",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
케이온,0.0,"성별예매 분포: 남 68%, 여 32%","연령별예매 분포: 10대 8%, 20대 32%, 30대 27%, 40대 25%, 50대 8%",감독 나오코 요마다,스토리가 탄탄하고 몰입하여 보게 되는 영화,20
홀리,0.0,,,"감독 양윤호, 최민수, 조안, 이얼, 장세진",배우연기가 메소드급인 몰입하여 보게 되는 영화,923
"아이,애나",,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 0%, 20대 28%, 30대 36%, 40대 25%, 50대 10%","감독 버나비 사우스콤, 샬롯 램플링, 가브리엘 번",배우연기가 메소드급인 몰입하여 보게 되는 영화,68
포이즌,0.0,"성별예매 분포: 남 64%, 여 36%","연령별예매 분포: 10대 0%, 20대 8%, 30대 30%, 40대 23%, 50대 40%","감독 조지 갤로, 존 트라볼타, 모건 프리먼, 감독 프란체스코 친퀘마니",배우연기가 메소드급인 현실감 있는 영화,29
아웃 인 더 다크,,"성별예매 분포: 남 79%, 여 21%","연령별예매 분포: 10대 0%, 20대 23%, 30대 35%, 40대 29%, 50대 13%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,6
나츠,92.0,"성별예매 분포: 남 17%, 여 83%","연령별예매 분포: 10대 7%, 20대 46%, 30대 25%, 40대 17%, 50대 5%","시마모토 스미, 코라 켄고, 코바야시 사나에, 이노우에 카즈히코, 카미야 히로시, 무라세 아유무",영상미가 뛰어나고 감동적인 영화,3661
디어 평양,0.0,"성별예매 분포: 남 21%, 여 79%","연령별예매 분포: 10대 1%, 20대 44%, 30대 36%, 40대 13%, 50대 6%",,감독연출가 훌륭하고 몰입하여 보게 되는 영화,5
퍼레이드,99.0,"성별예매 분포: 남 5%, 여 95%","연령별예매 분포: 10대 1%, 20대 6%, 30대 21%, 40대 39%, 50대 33%",감독 박재석,영상미가 뛰어나고 감동적인 영화,476
스텝 업,0.0,"성별예매 분포: 남 29%, 여 71%","연령별예매 분포: 10대 0%, 20대 36%, 30대 29%, 40대 29%, 50대 7%","감독 앤 프레처, 제나 드완, 채닝 테이텀",배우연기가 메소드급인 몰입하여 보게 되는 영화,335
비토,0.0,,,감독 보비토 가르시아,OST가 명곡인 몰입하여 보게 되는 영화,2
파티51,0.0,"성별예매 분포: 남 46%, 여 54%","연령별예매 분포: 10대 0%, 20대 53%, 30대 25%, 40대 17%, 50대 5%","감독 정용택, 한받, 박다함, 단편선, 밤섬해적단",OST가 명곡인 몰입하여 보게 되는 영화,19
방문자,,,,"감독 신동일, 강지환, 김재록",배우연기가 메소드급인 몰입하여 보게 되는 영화,13
늦여름,92.0,"성별예매 분포: 남 59%, 여 42%","연령별예매 분포: 10대 0%, 20대 27%, 30대 37%, 40대 23%, 50대 12%","감독 조성규, 조선묵, 허동원, 전석호, 정연주",배우연기가 메소드급인 몰입하여 보게 되는 영화,141
세이프,87.0,"성별예매 분포: 남 56%, 여 44%","연령별예매 분포: 10대 1%, 20대 28%, 30대 38%, 40대 33%, 50대 0%","감독 다니엘 에스피노사, 라이언 레이놀즈, 덴젤 워싱턴",배우연기가 메소드급인 몰입하여 보게 되는 영화,209
세번째 시선,,,,"감독 정윤철, 감독 이미연(1), 감독 노동석, 감독 김곡, 황선화",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
빈센트,,,,감독 크리스틴 초이,,0
코스모폴리스,,"성별예매 분포: 남 41%, 여 59%","연령별예매 분포: 10대 0%, 20대 38%, 30대 38%, 40대 17%, 50대 6%","감독 데이비드 크로넨버그, 로버트 패틴슨, 줄리엣 비노쉬, 폴 지아마티",스토리가 탄탄하고 감동적인 영화,445
닥터,,,,"감독 스티브 카, 제프리 존스, 리사 쿠드로, 케빈 폴락, 스티브 잔",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
그루지 2,0.0,,,"감독 시미즈 다카시, 아리엘 케벨, 진관희, 사라 미셸 겔러",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
꼭두각시,0.0,"성별예매 분포: 남 52%, 여 48%","연령별예매 분포: 10대 2%, 20대 65%, 30대 22%, 40대 9%, 50대 2%","감독 권영락, 이종수, 구지성, 원기준, 한소영",배우연기가 메소드급인 스트레스가 해소되는 영화,126
프라이버시,0.0,"성별예매 분포: 남 46%, 여 54%","연령별예매 분포: 10대 1%, 20대 30%, 30대 36%, 40대 22%, 50대 11%","감독 존 크로울리, 레베카 홀, 에릭 바나",스토리가 탄탄하고 스트레스가 해소되는 영화,502
이별계약,0.0,"성별예매 분포: 남 28%, 여 72%","연령별예매 분포: 10대 1%, 20대 45%, 30대 40%, 40대 11%, 50대 4%","감독 오기환, 우페이츠, 장진푸, 바이바이허, 펑위옌",영상미가 뛰어나고 몰입하여 보게 되는 영화,670
어느 멋진 순간,0.0,,,"감독 리들리 스콧, 앨버트 피니, 러셀 크로우",배우연기가 메소드급인 감동적인 영화,0
일대종사,89.0,"성별예매 분포: 남 43%, 여 57%","연령별예매 분포: 10대 1%, 20대 27%, 30대 40%, 40대 23%, 50대 10%","감독 왕가위, 양조위, 송혜교, 장쯔이, 장첸",영상미가 뛰어나고 몰입하여 보게 되는 영화,2993
로스트 인 타일랜드,,"성별예매 분포: 남 46%, 여 54%","연령별예매 분포: 10대 1%, 20대 30%, 30대 42%, 40대 19%, 50대 8%","감독 서쟁, 황발, 왕보강, 서쟁",배우연기가 메소드급인 몰입하여 보게 되는 영화,22
수색,,"성별예매 분포: 남 37%, 여 63%","연령별예매 분포: 10대 1%, 20대 36%, 30대 41%, 40대 14%, 50대 9%","감독 천 카이거, 야오천, 조우정, 고원원",배우연기가 메소드급인 몰입하여 보게 되는 영화,25
샤오홍,,"성별예매 분포: 남 31%, 여 69%","연령별예매 분포: 10대 1%, 20대 30%, 30대 40%, 40대 21%, 50대 9%","감독 후오지엔치, 왕인군, 송가, 황각",배우연기가 메소드급인 몰입하여 보게 되는 영화,15
1942,,"성별예매 분포: 남 47%, 여 53%","연령별예매 분포: 10대 1%, 20대 35%, 30대 38%, 40대 18%, 50대 8%","감독 펑 샤오강, 장국립, 애드리언 브로디, 팀 로빈스",배우연기가 메소드급인 몰입하여 보게 되는 영화,21
노인 요양원,,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 0%, 20대 34%, 30대 41%, 40대 16%, 50대 10%","감독 장양, 허환산, 안병연, 사금고왜",배우연기가 메소드급인 몰입하여 보게 되는 영화,14
바람의 전설,0.0,,,"감독 박정우(1), 김수로, 문정희, 박솔미, 이칸희",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
좋아해,,,,"감독 이시카와 히로시, 나가사쿠 히로미, 미야자키 아오이, 에이타, 니시지마 히데토시",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
감시자들,91.0,,,"감독 조의석, 감독 김병서, 설경구, 준호, 한효주",,0
럭키,0.0,,,"샐리 호킨스, 감독 마이크 리",배우연기가 메소드급인 몰입하여 보게 되는 영화,20
인헤리턴스,73.0,"성별예매 분포: 남 54%, 여 46%","연령별예매 분포: 10대 1%, 20대 12%, 30대 27%, 40대 33%, 50대 27%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,615
인 더 하우스,0.0,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 0%, 20대 37%, 30대 36%, 40대 18%, 50대 8%","감독 프랑수아 오종, 크리스틴 스콧 토마스, 에른스트 움하우어, 엠마누엘 자이그너, 파브리스 루치니",감독연출가 훌륭하고 몰입하여 보게 되는 영화,321
해바라기,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 강석범, 허이재, 김해숙, 김래원",배우연기가 메소드급인 몰입하여 보게 되는 영화,860
들개,0.0,"성별예매 분포: 남 41%, 여 59%","연령별예매 분포: 10대 1%, 20대 52%, 30대 34%, 40대 9%, 50대 5%","감독 김정훈(감독), 변요한, 박정민",배우연기가 메소드급인 몰입하여 보게 되는 영화,216
괜찮아요,,,,"감독 남선호, 김호정, 강산, 이순재, 이승채",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
사랑할 때 이야기하는 것들,0.0,,,"감독 변승욱, 김지수, 이한위, 한석규",배우연기가 메소드급인 몰입하여 보게 되는 영화,94
9월이 지나면,94.0,"성별예매 분포: 남 30%, 여 70%","연령별예매 분포: 10대 4%, 20대 45%, 30대 31%, 40대 14%, 50대 6%","감독 조현철, 감독 고형동, 임지연, 조현철, 박혜수",감독연출가 훌륭하고 감동적인 영화,18
남자들,0.0,,,"감독 이하, 양익준, 지진희, 이문식",배우연기가 메소드급인 몰입하여 보게 되는 영화,21
무지개 여신,0.0,,,"감독 쿠마자와 나오토, 우에노 주리, 이치하라 하야토",영상미가 뛰어나고 몰입하여 보게 되는 영화,0
파란만장,,,,"감독 박찬욱, 감독 박찬경, 김환희, 오광록, 이용녀",배우연기가 메소드급인 몰입하여 보게 되는 영화,2
디파티드,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 마틴 스코세이지, 레오나르도 디카프리오, 토드 피터슨, 마크 월버그, 맷 데이먼",배우연기가 메소드급인 몰입하여 보게 되는 영화,222
선,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 리처드 링클레이터, 에단 호크, 루이즈 레모인 토레스, 로돌프 파울리, 버논 도트체프",감독연출가 훌륭하고 몰입하여 보게 되는 영화,160
녹차의 맛,0.0,,,"감독 이시이 카츠히토, 츠치야 안나, 킨 키린, 사토 타카히로, 가슈인 타츠야",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
자기소개,,,,,,0
저스트 프렌드,0.0,,,"감독 로저 컴블, 크리스 클라인, 마리아 아르체, 에이미 스마트, 라이언 레이놀즈",스토리가 탄탄하고 감동적인 영화,0
주희,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%",,,0
열대야,,"성별예매 분포: 남 58%, 여 42%","연령별예매 분포: 10대 0%, 20대 38%, 30대 42%, 40대 4%, 50대 15%",,영상미가 뛰어나고 몰입하여 보게 되는 영화,3
범죄의 재구성,95.0,"성별예매 분포: 남 44%, 여 56%","연령별예매 분포: 10대 0%, 20대 42%, 30대 34%, 40대 13%, 50대 11%","감독 최동훈, 염정아, 백윤식, 천호진, 이문식",배우연기가 메소드급인 몰입하여 보게 되는 영화,557
Mr.로빈 꼬시기,0.0,,,"감독 김상우, 다니엘 헤니, 엄정화",배우연기가 메소드급인 유쾌한 영화,320
퍼시픽 림,84.0,,,"키쿠치 린코, 경첨, 존 보예가, 아드리아 아르호나, 스콧 이스트우드, 케일리 스패니",,0
비우,,"성별예매 분포: 남 40%, 여 60%","연령별예매 분포: 10대 1%, 20대 42%, 30대 37%, 40대 19%, 50대 0%","감독 알레한드로 곤잘레스 이냐리투, 하비에르 바르뎀, 디아리아투 다프, 마리셀 알바레스, 에두아르드 페르난데즈",배우연기가 메소드급인 몰입하여 보게 되는 영화,38
페어리테일,0.0,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 3%, 20대 9%, 30대 30%, 40대 55%, 50대 3%",감독 후지모리 마사야,감독연출가 훌륭하고 몰입하여 보게 되는 영화,45
맥베드,0.0,"성별예매 분포: 남 25%, 여 75%","연령별예매 분포: 10대 0%, 20대 39%, 30대 39%, 40대 7%, 50대 16%","감독 로만 폴란스키, 존 핀치, 니콜라스 셀비, 존 스트라이드, 마틴 쇼, 프란체스카 애니스",영상미가 뛰어나고 몰입하여 보게 되는 영화,17
설국열차,91.0,,,"감독 봉준호, 송강호, 에드 해리스, 존 허트, 크리스 에반스",,0
샤레이드,98.0,"성별예매 분포: 남 40%, 여 60%","연령별예매 분포: 10대 0%, 20대 26%, 30대 32%, 40대 23%, 50대 19%",,배우연기가 메소드급인 기분이 좋아지는 영화,568
터보,,,,"감독 야구치 시노부, 츠마부키 사토시, 가네코 타카토시, 미우라 아키부미, 곤도 코엔, 다마키 히로시",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
007 카지노 로얄,0.0,,,"감독 마틴 캠벨, 지안카를로 지아니니, 매즈 미켈슨, 다니엘 크레이그, 에바 그린, 제프리 라이트",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
쏘우 3,0.0,,,"감독 케빈 그루터트, 캐리 엘위스, 토빈 벨",영상미가 뛰어나고 오싹하게 무서운 영화,128
스캔들,0.0,,,"감독 저스틴 채드윅, 에릭 바나, 스칼렛 요한슨, 나탈리 포트만",배우연기가 메소드급인 몰입하여 보게 되는 영화,461
세르쥬노박의 겨울여행,,,,"감독 로베르토 안도, 다니엘 오떼유, 그레타 스카키",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
도터,82.0,"성별예매 분포: 남 32%, 여 68%","연령별예매 분포: 10대 3%, 20대 38%, 30대 31%, 40대 20%, 50대 9%","감독 가브리엘 무치노, 아만다 사이프리드, 아론 폴, 러셀 크로우",배우연기가 메소드급인 감동적인 영화,2127
페인리스,0.0,"성별예매 분포: 남 42%, 여 58%","연령별예매 분포: 10대 0%, 20대 36%, 30대 44%, 40대 15%, 50대 5%","감독 후앙 카를로스 메디나, 알렉스 브렌데뮬, 토마스 레마르쿼즈, 데릭 드 린트",배우연기가 메소드급인 몰입하여 보게 되는 영화,27
싸이보그지만 괜찮아,0.0,"성별예매 분포: 남 33%, 여 67%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 100%, 50대 0%","감독 박찬욱, 정지훈, 임수정",스토리가 탄탄하고 유쾌한 영화,695
고스포드 파크,0.0,,,"감독 로버트 알트먼, 마이클 갬본, 스티븐 프라이, 데렉 자코비, 라이언 필립",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
스톨른,,"성별예매 분포: 남 35%, 여 65%","연령별예매 분포: 10대 1%, 20대 56%, 30대 16%, 40대 20%, 50대 7%","감독 사이먼 웨스트, 조쉬 루카스, 니콜라스 케이지",배우연기가 메소드급인 몰입하여 보게 되는 영화,21
비상,0.0,,,"감독 박정훈, 김별, 이채영, 김범, 배수빈",스토리가 탄탄하고 몰입하여 보게 되는 영화,37
저지 걸,0.0,,,"감독 케빈 스미스, 제니퍼 로페즈, 라쿠엘 카스트로, 조지 칼린, 리브 타일러",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
팀 버튼의 크리스마스 악몽,97.0,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 5%, 20대 39%, 30대 31%, 40대 15%, 50대 10%","감독 헨리 셀릭, 대니 엘프먼, 윌리엄 히키, 크리스 서랜던, 폴 루벤스",영상미가 뛰어나고 몰입하여 보게 되는 영화,859
박물관이 살아있다!,98.0,,,"감독 숀 레비, 벤 스틸러, 로빈 윌리엄스",스토리가 탄탄하고 몰입하여 보게 되는 영화,0
피아노 연주,85.0,"성별예매 분포: 남 49%, 여 51%","연령별예매 분포: 10대 1%, 20대 17%, 30대 30%, 40대 28%, 50대 25%","감독 페르난도 트루에바, 제프 골드브럼, 감독 하비에르 마리스칼",OST가 명곡인 몰입하여 보게 되는 영화,394
미녀는 괴로워,97.0,,,"감독 김용화, 주진모, 김아중, 임현식, 김용건",스토리가 탄탄하고 유쾌한 영화,1852
바이올린,,"성별예매 분포: 남 43%, 여 57%","연령별예매 분포: 10대 1%, 20대 20%, 30대 21%, 40대 31%, 50대 27%","토폴, 노마 크레인, 레오나르드 프레이",배우연기가 메소드급인 몰입하여 보게 되는 영화,16
모양,95.0,,,"감독 기예르모 델 토로, 리차드 젠킨스, 더그 존스, 마이클 섀넌, 옥타비아 스펜서",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
