영화제목,에그지수,성별,연령별,감독/등장인물,관람포인트,실관람평개수
스프린터,99.0,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 0%, 20대 48%, 30대 25%, 40대 16%, 50대 10%","감독 최승연, 공민정, 박성일",스토리가 탄탄하고 몰입하여 보게 되는 영화,4
말아,99.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 정윤철, 김태경, 백성현, 안내상, 이기영",배우연기가 메소드급인 감동적인 영화,0
야나가와,0.0,"성별예매 분포: 남 47%, 여 53%","연령별예매 분포: 10대 4%, 20대 47%, 30대 26%, 40대 9%, 50대 15%","이케마츠 소스케, 감독 장률",배우연기가 메소드급인 몰입하여 보게 되는 영화,5
우연과 상상,0.0,"성별예매 분포: 남 53%, 여 47%","연령별예매 분포: 10대 0%, 20대 49%, 30대 37%, 40대 6%, 50대 8%","감독 하마구치 류스케, 우라베 후사코, 시부카와 키요히코",감독연출가 훌륭하고 몰입하여 보게 되는 영화,12
취화선,0.0,"성별예매 분포: 남 49%, 여 51%","연령별예매 분포: 10대 0%, 20대 46%, 30대 37%, 40대 9%, 50대 9%","감독 임권택, 김동호, 안성기, 손예진, 김여진",배우연기가 메소드급인 몰입하여 보게 되는 영화,117
드라이브 마이 카,0.0,"성별예매 분포: 남 51%, 여 49%","연령별예매 분포: 10대 5%, 20대 43%, 30대 31%, 40대 11%, 50대 10%","니시지마 히데토시, 감독 하마구치 류스케",감독연출가 훌륭하고 감동적인 영화,6
바리케이드,,,,"감독 윤인호, 김정균, 김의성",,0
쇼퍼홀릭,0.0,,,"감독 P.J. 호건, 존 굿맨, 아일라 피셔, 휴 댄시, 조앤 쿠삭",스토리가 탄탄하고 몰입하여 보게 되는 영화,288
원티드 킬러,,,,"감독 빈센트 도노프리오, 빈센트 도노프리오, 에단 호크, 아담 볼드윈, 제이크 슈어",,0
낮과 달,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%",유다인,,0
물방울을 그리는 남자,0.0,"성별예매 분포: 남 22%, 여 78%","연령별예매 분포: 10대 6%, 20대 35%, 30대 21%, 40대 15%, 50대 24%",,스토리가 탄탄하고 감동적인 영화,2
미야모토,0.0,,,"감독 마리코 테츠야, 이우라 아라타, 이케마츠 소스케, 아오이 유우",배우연기가 메소드급인 몰입하여 보게 되는 영화,17
귀멸의 칼날: 주합회의·나비저택 편,92.0,"성별예매 분포: 남 43%, 여 57%","연령별예매 분포: 10대 13%, 20대 31%, 30대 20%, 40대 23%, 50대 13%","감독 소토자키 하루오, 하나에 나츠키, 키토 아카리, 시모노 히로, 마츠오카 요시츠구",스토리가 탄탄하고 몰입하여 보게 되는 영화,1742
와이키키 브라더스,0.0,,,감독 임순례,감독연출가 훌륭하고 몰입하여 보게 되는 영화,4
산타킬러스,,,,"감독 에숌 넬스, 감독 이안 넬스, 월튼 고긴스, 마리안 장 밥티스트, 멜 깁슨",,0
간호중,85.0,"성별예매 분포: 남 64%, 여 36%","연령별예매 분포: 10대 2%, 20대 22%, 30대 34%, 40대 21%, 50대 22%","감독 민규동, 예수정, 염혜란, 윤경호, 이유영",배우연기가 메소드급인 몰입하여 보게 되는 영화,159
마이 뉴욕 다이어리,90.0,"성별예매 분포: 남 38%, 여 62%","연령별예매 분포: 10대 2%, 20대 16%, 30대 29%, 40대 25%, 50대 28%","감독 필리프 팔라도, 콜므 포어, 마가렛 퀄리, 시고니 위버, 더글러스 부스",배우연기가 메소드급인 공감되는 영화,1558
