영화제목,에그지수,관람포인트,실관람평개수,감독1,감독2,감독3,감독4,감독5,배우1,배우2,배우3,배우4,배우5,배우6,남자,여자,10대,20대,30대,40대,50대
파라다이스 힐스,68.0,영상미가 뛰어나고 기분이 좋아지는 영화,395,앨리스 웨딩턴,,,,,밀라 요보비치,엠마 로버츠,다니엘 맥도널드,에이사 곤잘레스,,,36,64,1,32,32,20,15
더 터닝,60.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,752,플로리아 시지스몬디,,,,,조엘리 리차드슨,바바라 마튼,브루클린 프린스,맥켄지 데이비스,,,46,54,5,35,26,20,13
행복의 단추를 채우는 완벽한 방법,88.0,배우연기가 메소드급인 감동적인 영화,362,칼 헌터,,,,,제니 에구터,샘 라일리,빌 나이,앨리스 로우,,,39,61,1,16,35,27,22
다니엘 이즌 리얼,75.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,388,아담 이집트 모티머,,,,,피터 맥로비,매리 스튜어트 매스터슨,마이클 쿠오모,패트릭 슈왈제네거,마일즈 로빈스,,54,46,0,21,30,29,20
펠리칸 베이커리,70.0,스토리가 탄탄하고 감동적인 영화,108,우치다 슌타로,,,,,,,,,,,43,57,0,12,37,29,22
건즈 아킴보,73.0,배우연기가 메소드급인 스트레스가 해소되는 영화,3931,제이슨 레이 하우덴,,,,,다니엘 래드클리프,네드 데네히,사마라 위빙,나타샤 류 보르디초,,,57,43,0,29,32,21,17
핀란드 메탈밴드,92.0,OST가 명곡인 스트레스가 해소되는 영화,222,유소 라티오,유카 비드그렌,,,,요하네스 홀로파이넨,민카 쿠스토넨,빌 티호넨,,,,52,48,1,16,38,28,16
오픈 더 도어,63.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,3131,장항준,,,,,이순원,강애심,서영주,,,,40,60,2,14,30,29,25
공수도,93.0,배우연기가 메소드급인 스트레스가 해소되는 영화,376,채여준,,,,,김태윤,다은,손우현,오승훈,,,68,32,1,11,29,31,27
라라걸,98.0,배우연기가 메소드급인 감동적인 영화,1372,레이첼 그리피스,,,,,테레사 팔머,샘 닐,,,,,36,64,1,26,31,22,19
애프터 웨딩 인 뉴욕,92.0,배우연기가 메소드급인 감동적인 영화,1534,바트 프룬디치,,,,,미셸 윌리엄스,줄리안 무어,빌리 크루덥,,,,33,67,1,16,31,25,27
서치 아웃,66.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,729,곽정,,,,,김성철,허가윤,이시언,,,,49,51,6,33,25,19,16
유령선,95.0,스토리가 탄탄하고 공감되는 영화,389,김지영(3),,,,,박호산,,,,,,53,47,1,8,29,42,20
고양이와 할아버지,93.0,영상미가 뛰어나고 감동적인 영화,297,미츠아키 이와고,,,,,타테카와 시노스케,에모토 타스쿠,시바사키 코우,,,,38,62,1,18,34,27,20
호텔 레이크,67.0,배우연기가 메소드급인 오싹하게 무서운 영화,2499,윤은경,,,,,전수지,문창길,이세영,김보윤,,,46,54,8,32,24,21,15
저 산 너머,92.0,배우연기가 메소드급인 감동적인 영화,1953,최종태,,,,,안내상,강신일,이열음,송창의,,,37,63,1,14,25,30,30
썸원 썸웨어,92.0,배우연기가 메소드급인 공감되는 영화,395,세드릭 클라피쉬,,,,,프랑수와 베를레앙,프랑수아 시빌,카밀 코탄,아나 지라르도,시몬 압카리언,,37,63,0,17,37,27,19
체이싱,69.0,배우연기가 메소드급인 스트레스가 해소되는 영화,3774,한스 페터 몰란트,,,,,윌리엄 포사이스,로라 던,톰 베이트먼,마이클 에크런드,,,56,44,1,20,26,24,29
캣츠토피아,81.0,영상미가 뛰어나고 상상력을 자극하는 영화,389,게리 왕,,,,,오나미,유민상,박지현,,,,36,64,1,5,39,49,6
레이니 데이 인 뉴욕,85.0,영상미가 뛰어나고 설렘이 가득한 영화,4854,우디 앨런,,,,,주드 로,엘르 패닝,티모시 샬라메,디에고 루나,셀레나 고메즈,,35,65,2,34,33,17,14
카페 벨에포크,94.0,배우연기가 메소드급인 감동적인 영화,4208,니콜라스 베도스,,,,,피에르 아르디티,미카엘 코헨,드니 포달리데스,도리아 틸리에,,,38,62,1,29,35,19,16
나의 청춘은 너의 것,82.0,배우연기가 메소드급인 설렘이 가득한 영화,3153,주동,대몽영,,,,송위룡,송운화,,,,,27,73,12,43,20,16,9
헌티드 파크,58.0,배우연기가 메소드급인 오싹하게 무서운 영화,240,타카하시 히로시,,,,,마츠다 루카,키타하라 리에,사이토 나리,고지마 후지코,코미야 아리사,,63,37,9,32,25,21,12
해피 해피 레스토랑,73.0,영상미가 뛰어나고 감동적인 영화,153,후카가와 요시히로,,,,,오카다 마사키,혼조 마나미,오오이즈미 요,,,,34,66,0,10,31,34,24
소리를 들려줘,91.0,영상미가 뛰어나고 상상력을 자극하는 영화,1104,요시우라 야스히로,,,,,쿠도 아스카,히노 사토시,오키츠 카즈유키,츠치야 타오,후쿠하라 하루카,,63,37,4,20,27,27,22
모드 집에서의 하룻밤,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,310,에릭 로메르,,,,,프랑수아즈 파비앙,장-루이 트린티냥,,,,,47,53,1,31,33,18,17
비홀드 마이 하트,91.0,배우연기가 메소드급인 감동적인 영화,256,조슈아 레오나드,,,,,미레유 에노스,찰리 플러머,티모시 올리펀트,마리사 토메이,,,41,59,0,18,35,24,23
씨 피버,71.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,587,니사 하디만,,,,,올웬 파우에레,코니 닐슨,잭 히키,헤르미온느 코필드,,,55,45,4,29,27,23,18
어쩌다 아스널,94.0,배우연기가 메소드급인 감동적인 영화,203,줄리앙 라페노,,,,,앙드레 뒤솔리에,말룸 파킨,라에티샤 도슈,프랑소아 다미앙,루디빈 사니에,,51,49,0,17,38,25,19
라스트 풀 메저,92.0,배우연기가 메소드급인 감동적인 영화,958,토드 로빈슨,,,,,에드 해리스,브래드리 휘트포드,세바스찬 스탠,사무엘 L. 잭슨,크리스토퍼 플러머,,63,37,1,16,29,25,30
콜 오브 와일드,96.0,영상미가 뛰어나고 감동적인 영화,1804,크리스 샌더스,,,,,브래드리 휘트포드,해리슨 포드,카렌 길런,댄 스티븐스,,,54,46,1,15,27,28,29
범털,90.0,스토리가 탄탄하고 스트레스가 해소되는 영화,4,강태호,,,,,이현웅,성낙경,신유람,강인성,,,52,48,5,29,10,38,19
기도의 막이 내릴 때,94.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,110,후쿠자와 카츠오,,,,,다나카 레나,아베 히로시,이토요 마리에,마츠시마 나나코,미조바타 준페이,,60,40,0,13,41,26,19
