영화제목,에그지수,관람포인트,실관람평개수,감독1,감독2,감독3,감독4,감독5,배우1,배우2,배우3,배우4,배우5,배우6,남자,여자,10대,20대,30대,40대,50대
시월애,95.0,영상미가 뛰어나고 감동적인 영화,238,이현승,,,,,이인철,전지현,이정재,김무생,,,45,55,2,31,40,14,13
보리밭을 흔드는 바람,99.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,862,켄 로치,,,,,킬리언 머피,,,,,,39,61,2,28,33,18,19
파이란,95.0,배우연기가 메소드급인 감동적인 영화,264,송해성,,,,,최민식,김지영,손병호,공형진,,,63,37,2,24,38,21,16
비포 미드나잇,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,3720,리처드 링클레이터,,,,,줄리 델피,에단 호크,,,,,35,65,0,40,40,13,7
봄날은 간다,97.0,배우연기가 메소드급인 공감되는 영화,1220,허진호,,,,,유지태,이문식,이영애,박인환,,,45,55,1,37,38,14,10
디셈버,88.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2736,토드 헤인즈,,,,,찰스 멜튼,나탈리 포트만,줄리안 무어,,,,45,55,0,22,33,23,22
동사서독 리덕스,93.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,1317,왕가위,,,,,양조위,장국영,장만옥,양가휘,,,37,63,2,31,32,20,14
기념일,84.0,배우연기가 메소드급인 유쾌한 영화,3442,김민하,,,,,강신희,손주연,정하담,,,,46,54,6,18,25,24,27
종횡사해,98.0,배우연기가 메소드급인 기분이 좋아지는 영화,197,오우삼,,,,,주윤발,장국영,,,,,36,64,1,28,37,25,10
흑역사,88.0,배우연기가 메소드급인 유쾌한 영화,298,알리체 필리피,,,,,주세페 마조,루도비카 프란체스코니,,,,,41,59,0,16,38,21,25
나츠,92.0,영상미가 뛰어나고 감동적인 영화,3661,,,,,,시마모토 스미,코라 켄고,코바야시 사나에,이노우에 카즈히코,카미야 히로시,무라세 아유무,17,83,7,46,25,17,5
퍼레이드,99.0,영상미가 뛰어나고 감동적인 영화,476,박재석,,,,,,,,,,,5,95,1,6,21,39,33
늦여름,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,141,조성규,,,,,조선묵,허동원,전석호,정연주,,,59,42,0,27,37,23,12
세이프,87.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,209,다니엘 에스피노사,,,,,라이언 레이놀즈,덴젤 워싱턴,,,,,56,44,1,28,38,33,0
일대종사,89.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,2993,왕가위,,,,,양조위,송혜교,장쯔이,장첸,,,43,57,1,27,40,23,10
9월이 지나면,94.0,감독연출가 훌륭하고 감동적인 영화,18,조현철,고형동,,,,임지연,조현철,박혜수,,,,30,70,4,45,31,14,6
범죄의 재구성,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,557,최동훈,,,,,염정아,백윤식,천호진,이문식,,,44,56,0,42,34,13,11
도터,82.0,배우연기가 메소드급인 감동적인 영화,2127,가브리엘 무치노,,,,,아만다 사이프리드,아론 폴,러셀 크로우,,,,32,68,3,38,31,20,9
팀 버튼의 크리스마스 악몽,97.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,859,헨리 셀릭,,,,,대니 엘프먼,윌리엄 히키,크리스 서랜던,폴 루벤스,,,34,66,5,39,31,15,10
피아노 연주,85.0,OST가 명곡인 몰입하여 보게 되는 영화,394,페르난도 트루에바,하비에르 마리스칼,,,,제프 골드브럼,,,,,,49,51,1,17,30,28,25
빠지다,89.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,199,멜라니 로랑,,,,,마리 디나노드,질 를르슈,마리아 발베르드,노에미 메를랑,,,38,62,0,26,36,24,14
일 포스티노,98.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,820,마이클 래드포드,,,,,필립 느와레,마시모 트로이시,,,,,28,72,0,29,33,20,17
허리케인,87.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,6130,롭 코헨,,,,,벤 크로스,토비 켑벨,매기 그레이스,라이언 콴튼,,,54,46,1,25,30,27,17
맘,94.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,83,피에르 파올로 파졸리니,,,,,안나 마냐니,,,,,,53,47,4,23,26,14,19
글루미 선데이,98.0,OST가 명곡인 몰입하여 보게 되는 영화,292,,,,,,에리카 마로잔,스테파노 디오니시,벤 베커,조아킴 크롤,,,38,62,0,25,33,20,22
드리프트,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2305,발타자르 코루마쿠르,,,,,샘 클라플린,쉐일린 우들리,,,,,34,66,2,28,31,22,18
잡스,63.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,3412,조슈아 마이클 스턴,,,,,조시 게드,애쉬튼 커쳐,더모트 멀로니,,,,50,50,1,35,38,20,5
콜드 워,94.0,OST가 명곡인 감동적인 영화,2884,파벨 포리코브스키,,,,,잔느 발리바,토마즈 코트,요안나 쿨릭,아가타 쿠레샤,,,38,62,1,28,33,20,18
컨저링,90.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1540,마이클 차베스,,,,,베라 파미가,미아 톰린슨,벤 하디,패트릭 윌슨,,,50,50,12,44,24,11,6
왕십리,93.0,스토리가 탄탄하고 감동적인 영화,162,김진열,,,,,김종분,정유인,이재필,김귀임,,,45,55,1,17,31,24,28
언터처블,98.0,스토리가 탄탄하고 감동적인 영화,3332,올리비에르 나카체,에릭 토레다노,,,,오마 사이,프랑소와 클뤼제,,,,,43,57,2,41,35,22,0
프리즈너스,91.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,4280,드니 빌뇌브,,,,,제이크 질렌할,휴 잭맨,,,,,48,52,0,38,40,16,6
헌티드 맨션,80.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1898,저스틴 시미언,,,,,대니 드비토,오웬 윌슨,키스 스탠필드,자레드 레토,티파니 해디쉬,,45,55,2,18,29,27,25
롤러코스터,57.0,배우연기가 메소드급인 유쾌한 영화,4772,하정우,,,,,김기천,최규환,강신철,정경호,,,38,62,3,37,38,18,4
이창,97.0,감독연출가 훌륭하고 긴장을 늦출 수 없는 영화,581,알프레드 히치콕,,,,,그레이스 켈리,제임스 스튜어트,,,,,43,57,1,37,35,16,12
우리가족,86.0,스토리가 탄탄하고 감동적인 영화,681,,,,,,마츠다 세이코,사이토 타쿠미,이하라 츠요시,,,,44,56,0,14,32,29,25
드림걸즈,98.0,OST가 명곡인 기분이 좋아지는 영화,1372,빌 콘돈,,,,,제이미 폭스,에디 머피,제니퍼 허드슨,비욘세,아니카 노니 로즈,,43,57,1,22,33,24,20
인비저블,97.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,6816,오리올 파울로,,,,,안나 와게너,바바라 레니,마리오 카사스,호세 코로나도,,,43,57,1,34,32,20,12
서울역,56.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,5735,연상호,,,,,류승룡,심은경,이준,,,,42,58,2,44,30,19,5
노브레싱,67.0,배우연기가 메소드급인 기분이 좋아지는 영화,4713,조용선,,,,,김재영,박정철,박철민,권유리,,,26,74,6,39,26,24,4
응징자,64.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,2663,신재호,,,,,주상욱,이태임,양동근,,,,45,55,1,48,35,13,4
잉투기,91.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1174,엄태화,,,,,권율,엄태구,류혜영,,,,45,55,2,40,38,15,5
클립,86.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,1083,데이빗 슬레이드,,,,,크리스틴 스튜어트,테일러 로트너,로버트 패틴슨,다코타 패닝,,,60,40,15,30,10,30,15
사이비,85.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,1198,연상호,,,,,권해효,오정세,양익준,박희본,,,49,51,1,46,37,12,4
초콜릿,99.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,1382,팀 버튼,,,,,프레디 하이모어,조니 뎁,,,,,27,73,1,5,15,49,24
카운슬러,60.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2419,리들리 스콧,,,,,카메론 디아즈,마이클 패스벤더,페넬로페 크루즈,하비에르 바르뎀,,,49,51,0,36,42,16,6
북북서로 진로를 돌려라,98.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,930,알프레드 히치콕,,,,,캐리 그랜트,에바 마리 세인트,,,,,42,58,1,36,33,18,12
레베카,98.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,1143,알프레드 히치콕,,,,,조안 폰테인,로렌스 올리비에,,,,,37,63,1,33,31,19,16
이스케이프 플랜,83.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,4182,미카엘 하프스트롬,,,,,제임스 카비젤,아놀드 슈왈제네거,실베스터 스탤론,,,,54,46,1,39,35,18,7
영 앤 뷰티풀,85.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,336,프랑수아 오종,,,,,마린 백트,제랄딘 팔리아스,샬롯 램플링,,,,44,56,0,32,36,19,12
인사이드 르윈,86.0,OST가 명곡인 몰입하여 보게 되는 영화,4724,조엘 코엔,에단 코엔,,,,오스카 아이삭,캐리 멀리건,저스틴 팀버레이크,,,,38,62,1,40,39,13,6
"가장 따뜻한 색, 블루",93.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,3524,압델라티프 케시시,,,,,아델 에그자르코풀로스,레아 세이두,,,,,32,68,0,46,32,13,9
로렌스 애니웨이,92.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,709,자비에 돌란,,,,,쉬잔느 클레먼트,멜빌 푸포,,,,,29,71,2,43,33,12,10
천장지구,96.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,126,진목승,,,,,오맹달,유덕화,오천련,황광량,,,44,56,1,19,38,34,9
비행기,87.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,1288,클레이 홀,,,,,테리 헤처,발 킬머,,,,,39,61,0,3,67,28,1
세이빙 산타,85.0,스토리가 탄탄하고 상상력을 자극하는 영화,898,레온 주센,아론 실먼,,,,신동엽(1),팀 커리,팸 페리스,,,,30,70,5,8,49,36,2
사랑의 블랙홀,97.0,배우연기가 메소드급인 유쾌한 영화,443,해롤드 래미스,,,,,앤디 맥도웰,빌 머레이,,,,,47,53,1,26,39,20,15
포커페이스,79.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,133,러셀 크로우,,,,,엘사 파타키,리암 헴스워스,러셀 크로우,,,,69,31,0,5,29,26,40
해피니스,97.0,영상미가 뛰어나고 감동적인 영화,555,오윤동,김선형,,,,아이린,예리,웬디,,,,37,63,3,49,34,8,7
분노의 강,64.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1290,윤철형,,,,,김강일,한유은,김소빈,윤경호,,,53,47,1,6,22,30,40
살인자,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,3305,조영준,,,,,조여정,정성일,김태한,,,,48,52,2,32,27,20,13
폴리스 스토리 2014,60.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,1671,딩성,,,,,경첨,류예,성룡,,,,53,47,2,28,32,31,9
호수의 이방인,87.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,796,알랭 기로디,,,,,크리스토프 파오우,피에르 델라돈챔프스,,,,,44,56,0,37,28,20,14
조선미녀삼총사,62.0,배우연기가 메소드급인 기분이 좋아지는 영화,4371,박제현,,,,,하지원,주상욱,손가인,강예원,,,42,58,3,22,33,35,8
강령,74.0,배우연기가 메소드급인 오싹하게 무서운 영화,3220,손동완,,,,,김예림,이찬형,김은비,서동현,,,44,56,23,21,17,22,9
모험왕,93.0,스토리가 탄탄하고 유쾌한 영화,304,,,,,,토니 콜렛,이선,리차드 록스버그,루퍼스 스웰,라이언 콴튼,데보라 메일맨,25,75,0,3,51,43,3
안개,88.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,326,,,,,,로렌조 리첼미,알레시오 보니,토니 세르빌로,,,,54,46,1,19,39,21,20
레고 무비,94.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,1546,크리스 밀러,필 로드,,,,모건 프리먼,알리슨 브리,윌 페렐,엘리자베스 뱅크스,,,37,63,1,6,51,42,1
암전,64.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2117,김진원,,,,,서예지,진선규,,,,,41,59,12,43,19,17,8
그날 본 꽃의 이름을 우리는 아직 모른다,84.0,스토리가 탄탄하고 감동적인 영화,1278,나가이 타츠유키,,,,,,,,,,,52,48,14,38,21,23,4
올드보이,96.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,716,박찬욱,,,,,최민식,유지태,강혜정,오태경,,,39,61,1,62,24,8,5
탐엣더팜,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,379,자비에 돌란,,,,,피에르 이브 카르디날,리즈 로이,자비에 돌란,,,,26,74,1,45,33,11,9
라스트베가스,97.0,배우연기가 메소드급인 감동적인 영화,3855,존 터틀타웁,,,,,로버트 드 니로,마이클 더글라스,모건 프리먼,케빈 클라인,,,41,59,1,39,35,15,9
론 서바이버,93.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,4261,피터 버그,,,,,마크 월버그,테일러 키취,에릭 바나,에밀 허쉬,,,62,38,1,27,37,25,10
온 더 로드,97.0,OST가 명곡인 감동적인 영화,221,김재중,,,,,이재한,,,,,,4,96,3,46,31,10,11
환상의 빛,86.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,1269,고레에다 히로카즈,,,,,에스미 마키코,나이토 타카시,아사노 타다노부,,,,35,65,1,32,38,19,10
리오 2,91.0,영상미가 뛰어나고 유쾌한 영화,3628,카를로스 살다나,,,,,제이미 폭스,앤 해서웨이,제시 아이젠버그,브루노 마스,,,35,65,1,4,51,42,2
니드 포 스피드,90.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,2234,스캇 워프,,,,,마이클 키튼,아론 폴,다코타 존슨,이모겐 푸츠,,,62,38,1,32,48,16,4
재,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,557,최동훈,,,,,염정아,백윤식,천호진,이문식,,,44,56,0,42,34,13,11
물랑루즈,96.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,947,바즈 루어만,,,,,이완 맥그리거,카일리 미노그,니콜 키드먼,짐 브로드벤트,,,29,71,1,47,33,11,8
룸메이트,88.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1414,소륜,,,,,동려아,뇌가음,,,,,44,56,2,35,33,20,10
미치광이 피에로,85.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,712,장 뤽 고다르,,,,,안나 카리나,장 폴 벨몽도,,,,,55,45,2,34,30,17,16
도희야,81.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,3892,정주리,,,,,송새벽,김새론,배두나,,,,34,66,0,41,35,18,6
오큘러스,55.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,2766,마이크 플래너건,,,,,로리 코크레인,브렌튼 스웨이츠,카렌 길런,케이티 색호프,,,42,58,9,48,20,18,4
퍼지,64.0,스토리가 탄탄하고 오싹하게 무서운 영화,2493,제임스 드모나코,,,,,에단 호크,토니 올러,맥스 버크홀더,레나 헤디,,,47,53,2,69,19,7,3
마담 프루스트의 비밀정원,97.0,영상미가 뛰어나고 감동적인 영화,7435,실뱅 쇼메,,,,,앤 르니,귀욤 고익스,,,,,23,77,1,40,33,15,10
님포매니악 볼륨1,69.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2459,라스 폰 트리에,,,,,크리스찬 슬레이터,스텔란 스카스가드,우마 서먼,코니 닐슨,소피 케네디 클락,,37,63,0,42,33,18,8
그레이스 오브 모나코,80.0,영상미가 뛰어나고 기분이 좋아지는 영화,3613,올리비에 다한,,,,,프랭크 란젤라,니콜 키드먼,팀 로스,,,,30,70,1,27,36,24,13
프란시스 하,94.0,배우연기가 메소드급인 공감되는 영화,4555,노아 바움백,,,,,그레타 거윅,,,,,,28,72,1,41,34,15,9
소녀괴담,51.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,3294,오인천,,,,,김정태,박두식,강하늘,한혜린,,,37,63,11,40,16,28,5
로크,96.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,860,이 안,,,,,랜디 퀘이드,미셸 윌리엄스,앤 해서웨이,제이크 질렌할,,,23,77,2,50,31,10,7
님포매니악 볼륨2,74.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1481,라스 폰 트리에,,,,,크리스찬 슬레이터,스텔란 스카스가드,우마 서먼,코니 닐슨,소피 케네디 클락,,35,65,0,41,33,18,8
블러드 워,85.0,영상미가 뛰어나고 긴장을 늦출 수 없는 영화,6404,안나 포에스터,,,,,케이트 베킨세일,브래들리 제임스,테오 제임스,라라 펄버,토비어스 멘지스,,58,42,1,24,41,27,7
라스트 모히칸,92.0,OST가 명곡인 공감되는 영화,727,마이클 만,,,,,조디 메이,다니엘 데이 루이스,매들린 스토우,러셀 민스,,,55,45,1,17,28,35,20
트랜스포머,97.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,3381,마이클 베이,,,,,샤이아 라보프,,,,,,42,58,1,53,34,10,2
베르테르,91.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,810,곽기영,,,,,이지혜,규현,,,,,16,84,9,45,22,15,9
동경가족,79.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,1329,야마다 요지,,,,,나츠카와 유이,츠마부키 사토시,아오이 유우,하야시야 쇼조,니시무라 마사히코,,36,64,1,29,39,20,12
아웃사이더,85.0,배우연기가 메소드급인 공감되는 영화,127,가한진,후닝 유안,,,,왕정,임백예,임휘황,,,,57,43,0,22,31,26,21
족구왕,97.0,배우연기가 메소드급인 유쾌한 영화,2663,우문기,,,,,강봉성,황미영,안재홍,정우식,,,42,58,1,42,39,14,4
함정,58.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,5271,권형진,,,,,조한선,지안,김민경,마동석,,,46,54,1,55,25,13,6
허큘리스,66.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1262,브렛 래트너,,,,,조셉 파인즈,이리나 샤크,이안 맥쉐인,드웨인 존슨,,,61,39,1,28,34,29,8
떡,97.0,스토리가 탄탄하고 유쾌한 영화,5554,타카하시 와타루,,,,,,,,,,,30,70,14,35,19,26,6
초속5센티미터,88.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,936,신카이 마코토,,,,,미즈하시 켄지,,,,,,49,51,4,42,31,17,6
아이 킬드 마이 마더,92.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,157,자비에 돌란,,,,,앤 도벌,쉬잔느 클레먼트,자비에 돌란,,,,35,65,0,36,32,19,13
인보카머스,58.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1147,스콧 데릭슨,,,,,에드가 라미레즈,에릭 바나,,,,,48,52,1,54,31,11,4
브레이킹,87.0,영상미가 뛰어나고 긴장을 늦출 수 없는 영화,1615,빌 콘돈,,,,,크리스틴 스튜어트,테일러 로트너,로버트 패틴슨,다코타 패닝,,,39,61,6,48,32,14,0
라따뚜이,99.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,735,브래드 버드,,,,,패튼 오스왈트,,,,,,31,69,4,58,26,9,4
어둠속의 댄서,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,275,라스 폰 트리에,,,,,까뜨린느 드뇌브,피터 스토메어,조엘 그레이,비요크,,,53,47,2,37,31,17,13
패션왕,53.0,배우연기가 메소드급인 기분이 좋아지는 영화,8117,오기환,,,,,이일화,김성오,박세영,주원 (문준원),,,33,67,7,39,21,29,4
범죄의 요소,86.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,163,라스 폰 트리에,,,,,에스몬드 나이트,마이클 엘픽,,,,,65,35,0,35,27,17,21
불의 전차,93.0,스토리가 탄탄하고 감동적인 영화,178,휴 허드슨,,,,,데니스 크리스토퍼,패트릭 마지,브래드 데이비스,린지 앤더슨,앨리스 크리지,,52,48,1,19,30,28,22
툼스톤,67.0,배우연기가 메소드급인 감동적인 영화,5495,스콧 프랭크,,,,,댄 스티븐스,보이드 홀브룩,리암 니슨,,,,49,51,0,38,33,19,9
포비아,80.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,9148,홍석재,,,,,이주승,하윤경,류준열,변요한,,,24,76,7,59,20,11,4
여배우,80.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,444,이재용,,,,,이미숙,최지우,김옥빈,고현정,,,4,96,3,69,24,3,1
레드카펫,69.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,5018,박범수,,,,,조달환,황찬성(2PM),오정세,고준희,,,36,64,4,59,25,9,3
맨홀,53.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,1497,신재영,,,,,김새론,정유미,정경호,,,,41,59,1,61,23,11,4
나이팅게일,78.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1357,제니퍼 켄트,,,,,찰리 쇼트웰,아이슬링 프란쵸시,데이몬 헤리맨,샘 클라플린,,,56,44,0,14,28,27,31
애나벨,71.0,스토리가 탄탄하고 오싹하게 무서운 영화,8235,존 R. 레오네티,,,,,알프리 우다드,워드 호튼,토니 아멘돌라,애나벨 월리스,,,42,58,8,57,18,14,3
해리 포터와 불사조 기사단,97.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,1523,데이빗 예이츠,,,,,헬레나 본햄 카터,제이슨 아이삭스,루퍼트 그린트,랄프 파인즈,다니엘 래드클리프,,22,78,7,49,27,10,7
스파이럴,77.0,배우연기가 메소드급인 오싹하게 무서운 영화,6154,대런 린 보우즈만,,,,,사무엘 L. 잭슨,맥스 밍겔라,마리솔 니콜스,크리스 록,,,55,45,0,24,30,24,21
변신,94.0,스토리가 탄탄하고 상상력을 자극하는 영화,390,,,,,,김은아,홍진욱,이민규,박선영(3),엄상현,,35,65,0,4,67,25,4
다이빙벨,97.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,132,,,,,,송옥숙,오석근,김지석,이용관,이종인,,49,51,0,14,33,30,23
박스트롤,89.0,스토리가 탄탄하고 상상력을 자극하는 영화,1245,안소니 스타치,그레이엄 애나블,,,,토니 콜렛,아이작 햄스터드 라이트,엘르 패닝,,,,34,66,1,7,54,37,2
수도원,96.0,스토리가 탄탄하고 감동적인 영화,286,김동일,,,,,,,,,,,36,64,0,8,21,29,42
네이키드,87.0,배우연기가 메소드급인 유쾌한 영화,113,제시 페레츠,,,,,크리스 오다우드,로즈 번,에단 호크,,,,40,60,1,8,30,24,37
갈증,75.0,배우연기가 메소드급인 스트레스가 해소되는 영화,423,나카시마 테츠야,,,,,나카타니 미키,고마츠 나나,츠마부키 사토시,오다기리 죠,,,53,47,1,40,36,14,8
오늘영화,83.0,스토리가 탄탄하고 유쾌한 영화,254,구교환,윤성호,이옥섭,,,박정범,박혁권,,,,,33,67,5,48,30,11,7
질,85.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,78,조희영,,,,,공민정,김희상,류세일,정보람,,,53,47,1,20,32,27,14
한여름의 판타지아,83.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,2565,장건재,,,,,이와세 료,김새벽,임형국,,,,33,67,1,43,37,13,6
위로공단,90.0,감독연출가 훌륭하고 공감되는 영화,463,임흥순,,,,,,,,,,,38,62,2,42,32,16,9
천국보다 낯선,97.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,779,짐 자무쉬,,,,,에스쩨르 발린트,존 루리,리차드 에드슨,,,,35,65,1,41,30,16,11
헝그리 하트,91.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,118,사베리오 코스탄조,,,,,아담 드라이버,알바 로르와커,,,,,29,71,1,36,35,15,13
특별한 날,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,83,,,,,,마르첼로 마스트로야니,소피아 로렌,,,,,41,59,1,29,33,18,18
일곱난쟁이,75.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,2243,헤랄드 지페르만,,,,,김경희,윤세웅,차선우,임채헌,,,31,69,1,3,63,32,1
패딩턴,89.0,스토리가 탄탄하고 유쾌한 영화,6293,폴 킹,,,,,니콜 키드먼,휴 보네빌,벤 위쇼,샐리 호킨스,,,29,71,1,19,34,43,4
워킹걸,79.0,배우연기가 메소드급인 공감되는 영화,3845,정범식,,,,,김태우,김보연,클라라,라미란,,,42,58,0,49,30,15,6
바그다드 카페,97.0,OST가 명곡인 감동적인 영화,741,퍼시 애들론,,,,,마리안느 세이지브레트,CCH 파운더,,,,,29,71,1,27,34,22,17
블러드 심플,94.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,1365,조엘 코엔,에단 코엔,,,,홀리 헌터,베리 소넨필드,M. 에멧 월시,프란시스 맥도맨드,,,46,54,1,26,36,22,16
죽은 시인의 사회,99.0,스토리가 탄탄하고 감동적인 영화,5691,피터 위어,,,,,로버트 숀 레오나드,에단 호크,,,,,26,74,3,50,23,16,8
기담,91.0,감독연출가 훌륭하고 오싹하게 무서운 영화,301,정식,정범식,,,,고주연,김응수,최재환,,,,51,49,4,33,34,16,12
비틀쥬스,88.0,배우연기가 메소드급인 유쾌한 영화,4600,팀 버튼,,,,,마이클 키튼,위노나 라이더,제나 오르테가,캐서린 오하라,,,44,56,3,23,28,25,21
빽 투 더 퓨쳐,99.0,스토리가 탄탄하고 기분이 좋아지는 영화,1522,로버트 저메키스,,,,,크리스토퍼 로이드,마이클 J. 폭스,,,,,38,62,3,46,29,18,4
배트맨,99.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,4857,크리스토퍼 놀란,,,,,월리 피스터,모건 프리먼,크리스찬 베일,게리 올드만,,,52,48,2,32,36,19,10
트라이브,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,790,미로슬라브 슬라보슈비츠키,,,,,야나 노비코바,그레고리브 페센코,,,,,40,60,0,47,33,14,5
만덜레이,96.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,180,라스 폰 트리에,,,,,이삭 드 번콜,브라이스 달라스 하워드,윌렘 데포,,,,64,37,0,29,30,17,23
버드맨,80.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,8286,알레한드로 곤잘레스 이냐리투,,,,,에드워드 노튼,엠마 스톤,나오미 왓츠,마이클 키튼,,,45,55,0,40,37,15,8
시티 라이트,98.0,배우연기가 메소드급인 유쾌한 영화,353,찰리 채플린,,,,,버지니아 체릴,행크 만,찰리 채플린,,,,52,48,1,29,32,20,17
2001 스페이스 오디세이,94.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,564,스탠리 큐브릭,,,,,케어 둘리,게리 록우드,,,,,39,61,1,46,32,14,6
폭스캐처,96.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2167,베넷 밀러,,,,,스티브 카렐,마크 러팔로,채닝 테이텀,,,,42,58,0,38,38,16,8
맥베스,75.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,4555,저스틴 커젤,,,,,마이클 패스벤더,마리옹 꼬띠아르,,,,,36,64,2,38,31,17,11
허슬러,82.0,배우연기가 메소드급인 스트레스가 해소되는 영화,3107,로렌 스카파리아,,,,,제니퍼 로페즈,줄리아 스타일즈,카디 비,콘스탄스 우,릴리 라인하트,,38,62,0,30,31,21,17
모데카이,53.0,배우연기가 메소드급인 기분이 좋아지는 영화,1657,데이빗 코엡,,,,,기네스 펠트로,이완 맥그리거,조니 뎁,,,,39,61,2,32,36,20,10
기생수 파트1,83.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,4413,야마자키 다카시,,,,,후카츠 에리,아사노 타다노부,히가시데 마사히로,키타무라 카즈키,소메타니 쇼타,,51,49,0,55,31,9,4
헬머니,74.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,6922,신한솔,,,,,정만식,이태란,이아인,이영은,,,39,61,0,42,32,17,9
